date,time,datetime,rain,units
4/5/2019,20:31:28,4/5/2019 20:31,0,mm
4/5/2019,20:46:28,4/5/2019 20:46,0,mm
4/5/2019,21:01:28,4/5/2019 21:01,0,mm
4/5/2019,21:16:28,4/5/2019 21:16,0,mm
4/5/2019,21:31:28,4/5/2019 21:31,0,mm
4/5/2019,21:46:28,4/5/2019 21:46,0,mm
4/5/2019,22:01:28,4/5/2019 22:01,0,mm
4/5/2019,22:16:28,4/5/2019 22:16,0,mm
4/5/2019,22:31:28,4/5/2019 22:31,0,mm
4/5/2019,22:46:28,4/5/2019 22:46,0,mm
4/5/2019,23:01:28,4/5/2019 23:01,0,mm
4/5/2019,23:16:28,4/5/2019 23:16,0,mm
4/5/2019,23:31:28,4/5/2019 23:31,0,mm
4/5/2019,23:46:28,4/5/2019 23:46,0,mm
